,time,lat,lon,elevation,watts,bpm,rpm,lat_prev,lon_prev,elevation_prev,dist,elevation_chg,dist_3d,watts_10s_rolling,watts_30s_rolling,dist_cumulative,watts-kg
781,2020-10-13T18:59:17Z,-11.662145,166.981909,13.4,231,145,88,-11.662206,166.982003,13.0,0.012279860812397491,-0.40000000000000036,0.4001884493355251,229.5,225.63333333333333,9.894653978727659,3.5538461538461537
782,2020-10-13T18:59:18Z,-11.662069,166.981823,13.6,231,146,88,-11.662145,166.981909,13.4,0.012614539708413162,-0.1999999999999993,0.2003974216701773,230.4,225.86666666666667,9.907268518436071,3.5538461538461537
783,2020-10-13T18:59:19Z,-11.66199,166.981751,14.0,244,146,87,-11.662069,166.981823,13.6,0.01177470442167442,-0.40000000000000036,0.4001732670534328,232.6,226.66666666666666,9.919043222857745,3.753846153846154
784,2020-10-13T18:59:20Z,-11.661907,166.981687,14.4,248,146,87,-11.66199,166.981751,14.0,0.011565165125553977,-0.40000000000000036,0.40016715637890826,233.5,227.53333333333333,9.930608387983298,3.8153846153846156
785,2020-10-13T18:59:21Z,-11.661825,166.981626,14.6,252,146,85,-11.661907,166.981687,14.4,0.011281213296139276,-0.1999999999999993,0.20031791176385777,234.8,228.53333333333333,9.941889601279437,3.876923076923077
786,2020-10-13T18:59:22Z,-11.661738,166.981572,15.0,256,145,84,-11.661825,166.981626,14.6,0.01132108863374311,-0.40000000000000036,0.400160176739082,237.3,229.56666666666666,9.95321068991318,3.9384615384615387
787,2020-10-13T18:59:23Z,-11.661653,166.981518,15.4,255,145,83,-11.661738,166.981572,15.0,0.011131654607498017,-0.40000000000000036,0.4001548621900038,239.6,230.56666666666666,9.964342344520677,3.923076923076923
788,2020-10-13T18:59:24Z,-11.661568,166.981466,15.6,295,145,86,-11.661653,166.981518,15.4,0.01101814912622666,-0.1999999999999993,0.2003032690950587,246.4,232.63333333333333,9.975360493646903,4.538461538461538
789,2020-10-13T18:59:25Z,-11.661481,166.981416,16.0,316,145,89,-11.661568,166.981466,15.6,0.011101067142956486,-0.40000000000000036,0.4001540124648417,255.3,235.3,9.98646156078986,4.861538461538461
790,2020-10-13T18:59:26Z,-11.661396,166.981369,16.4,309,145,87,-11.661481,166.981416,16.0,0.010748458058366057,-0.3999999999999986,0.40014438562927673,263.7,237.86666666666667,9.997210018848225,4.753846153846154
791,2020-10-13T18:59:27Z,-11.66131,166.981319,16.6,307,146,87,-11.661396,166.981369,16.4,0.011004303543461508,-0.20000000000000284,0.20030250796352447,271.3,240.7,10.008214322391687,4.723076923076923
792,2020-10-13T18:59:28Z,-11.661226,166.981271,17.0,303,146,86,-11.66131,166.981319,16.6,0.010703571033660764,-0.3999999999999986,0.4001431824145845,278.5,243.53333333333333,10.018917893425348,4.661538461538462
793,2020-10-13T18:59:29Z,-11.661143,166.98122,17.2,292,146,86,-11.661226,166.981271,17.0,0.010771433959511722,-0.1999999999999993,0.20028984944211187,283.3,245.76666666666668,10.02968932738486,4.492307692307692
794,2020-10-13T18:59:30Z,-11.661061,166.981169,17.6,292,146,85,-11.661143,166.98122,17.2,0.010676314478378975,-0.40000000000000213,0.4001424542470381,287.7,248.3,10.04036564186324,4.492307692307692
795,2020-10-13T18:59:31Z,-11.660984,166.981115,17.8,266,146,82,-11.661061,166.981169,17.6,0.010386997144988181,-0.1999999999999993,0.2002695426411358,289.1,249.8,10.050752639008227,4.092307692307692
796,2020-10-13T18:59:32Z,-11.660904,166.981063,18.2,260,146,91,-11.660984,166.981115,17.8,0.01054510212521047,-0.3999999999999986,0.4001389748310329,289.5,251.13333333333333,10.061297741133437,4.0
797,2020-10-13T18:59:33Z,-11.660826,166.981016,18.4,264,146,91,-11.660904,166.981063,18.2,0.010070836123691564,-0.1999999999999993,0.20025339382949287,290.4,252.43333333333334,10.071368577257129,4.061538461538461
798,2020-10-13T18:59:34Z,-11.660748,166.980967,18.6,277,146,90,-11.660826,166.981016,18.4,0.01018325734964694,-0.20000000000000284,0.20025907902077816,288.6,254.06666666666666,10.081551834606776,4.2615384615384615
799,2020-10-13T18:59:35Z,-11.660665,166.98092,19.0,270,146,92,-11.660748,166.980967,18.6,0.010553438709391115,-0.3999999999999986,0.40013919461681297,284.0,255.9,10.092105273316166,4.153846153846154
800,2020-10-13T18:59:36Z,-11.660585,166.980875,19.2,263,146,92,-11.660665,166.98092,19.0,0.01015612204559237,-0.1999999999999993,0.2002577010129815,279.4,257.26666666666665,10.102261395361758,4.046153846153846
801,2020-10-13T18:59:37Z,-11.660504,166.980829,19.6,263,146,92,-11.660585,166.980875,19.2,0.010306147772036483,-0.40000000000000213,0.4001327488245629,275.0,258.6,10.112567543133794,4.046153846153846
802,2020-10-13T18:59:38Z,-11.66042,166.980782,19.8,271,146,92,-11.660504,166.980829,19.6,0.010650819708716992,-0.1999999999999993,0.2002833991135244,271.8,260.23333333333335,10.123218362842511,4.1692307692307695
803,2020-10-13T18:59:39Z,-11.660337,166.980735,20.0,266,146,92,-11.66042,166.980782,19.8,0.010553441642203547,-0.1999999999999993,0.2002782442765442,269.2,261.7,10.133771804484715,4.092307692307692
804,2020-10-13T18:59:40Z,-11.660259,166.980689,20.4,268,147,93,-11.660337,166.980735,20.0,0.010015933978107974,-0.3999999999999986,0.4001253790169435,266.8,262.6666666666667,10.143787738462823,4.123076923076923
805,2020-10-13T18:59:41Z,-11.66018,166.980642,20.6,256,147,92,-11.660259,166.980689,20.4,0.010166762729780848,-0.20000000000000284,0.2002582409400542,265.8,263.23333333333335,10.153954501192604,3.9384615384615387
